OBL;BAZA;TIMESTAMP;ATTRIBUTE;Модель;Свойство;Значение
0;RM;2025-05-18 18:38:27.000;;1.5 TBC;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;1.5 E50 PGC;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;1.6 Lutina AS PGC-UV;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.6 NV2 Photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme PC Organic 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme Plus 0.5 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.60 NV2 photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.60 NV2 photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;SV Supreme 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.6 NV2 Photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.6 NV2 Photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.6 NV2 Photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.6 NV2 Photobrown;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.6 NV2 Photogrey;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme Book Organic 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme Office Organic 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme Book Organic 1.5;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme PC Organic 1.5;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Near Vision Supreme Office Organic 1.5;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.50  B;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.60  A;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.60  B;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Supreme Pref Far 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Supreme Pref Flex 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Supreme Pref Near 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.6;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Far 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Flex 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Pal Ultimate Pref Near 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;Intermediate 1.50  A;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WL Assist I - 0.53 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WL Assist I - 0.53 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WL Assist I - 0.53 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WL Assist II - 0.88 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLAssist II - 0.88 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLAssist II - 0.88 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;Organic 1.54 HSAR Brown/Grey stock Photo;Индекс преломления;1,54
0;RM;2025-05-18 18:38:27.000;;WLSf 1.50 PhotoDark;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLSf 1.60 PhotoDark;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.50 Photo;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.60;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.60 Photo;Индекс преломления;1,6
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Elite 14 1.67;Индекс преломления;1,67
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.50;Индекс преломления;1,5
0;RM;2025-05-18 18:38:27.000;;WLProgPremInd-Exclusive 14 1.50 Photo;Индекс преломления;1,5
